Sample Number (10 samples per second),t (c)
0,24.869999
1,24.869999
2,24.869999
3,24.869999
4,24.869999
5,24.869999
6,24.869999
7,24.869999
8,24.869999
9,24.869999
10,24.869999
11,24.869999
12,24.869999
13,24.869999
14,24.869999
15,24.869999
16,24.869999
17,24.869999
18,24.869999
19,24.869999
20,24.869999
21,24.869999
22,24.869999
23,24.869999
24,24.869999
25,24.869999
26,24.869999
27,24.869999
28,24.81
29,24.869999
30,24.81
31,24.81
32,24.81
33,24.81
34,24.81
35,24.81
36,24.81
37,24.81
38,24.81
39,24.81
40,24.81
41,24.81
42,24.81
43,24.81
44,24.81
45,24.81
46,24.81
47,24.81
48,24.81
49,24.81
50,24.81
51,24.81
52,24.81
53,24.81
54,24.81
55,24.81
56,24.81
57,24.81
58,24.81
59,24.81
60,24.81
61,24.81
62,24.81
63,24.81
64,24.81
65,24.81
66,24.81
67,24.81
68,24.81
69,24.81
70,24.81
71,24.81
72,24.81
73,24.81
74,24.75
75,24.75
76,24.81
77,24.75
78,24.75
79,24.75
80,24.75
81,24.75
82,24.75
83,24.75
84,24.75
85,24.75
86,24.75
87,24.75
88,24.75
89,24.75
90,24.75
91,24.75
92,24.75
93,24.75
94,24.75
95,24.75
96,24.75
97,24.75
98,24.75
99,24.75
100,24.75
101,24.75
102,24.75
103,24.75
104,24.75
105,24.75
106,24.75
107,24.75
108,24.75
109,24.75
110,24.75
111,24.75
112,24.75
113,24.75
114,24.75
115,24.75
116,24.75
117,24.75
118,24.68
119,24.68
120,24.68
121,24.68
122,24.68
123,24.68
124,24.68
125,24.68
126,24.68
127,24.68
128,24.68
129,24.68
130,24.68
131,24.68
132,24.68
133,24.68
134,24.68
135,24.68
136,24.68
137,24.68
138,24.68
139,24.68
140,24.68
141,24.68
142,24.68
143,24.68
144,24.68
145,24.68
146,24.68
147,24.68
148,24.68
149,24.68
150,24.68
151,24.68
152,24.68
153,24.68
154,24.68
155,24.68
156,24.68
157,24.68
158,24.619999
159,24.68
160,24.68
161,24.619999
162,24.619999
163,24.68
164,24.619999
165,24.619999
166,24.619999
167,24.619999
168,24.619999
169,24.619999
170,24.619999
171,24.68
172,24.619999
173,24.619999
174,24.619999
175,24.619999
176,24.619999
177,24.619999
178,24.619999
179,24.619999
180,24.619999
181,24.619999
182,24.619999
183,24.619999
184,24.619999
185,24.619999
186,24.619999
187,24.619999
188,24.619999
189,24.619999
190,24.619999
191,24.619999
192,24.619999
193,24.619999
194,24.619999
195,24.619999
196,24.619999
197,24.619999
198,24.619999
199,24.619999
200,24.619999
201,24.619999
202,24.619999
203,24.619999
204,24.56
205,24.56
206,24.619999
207,24.619999
208,24.56
209,24.56
210,24.56
211,24.56
212,24.56
213,24.56
214,24.56
215,24.56
216,24.56
217,24.56
218,24.56
219,24.56
220,24.56
221,24.56
222,24.56
223,24.56
224,24.56
225,24.56
226,24.56
227,24.56
228,24.56
229,24.56
230,24.56
231,24.56
232,24.56
233,24.56
234,24.56
235,24.56
236,24.56
237,24.56
238,24.56
239,24.56
240,24.56
241,24.56
242,24.56
243,24.56
244,24.56
245,24.56
246,24.56
247,24.56
248,24.56
249,24.56
250,24.56
251,24.56
252,24.56
253,24.5
254,24.56
255,24.5
256,24.5
257,24.56
258,24.5
259,24.5
260,24.56
261,24.5
262,24.5
263,24.5
264,24.5
265,24.5
266,24.5
267,24.5
268,24.5
269,24.5
270,24.5
271,24.5
272,24.5
273,24.5
274,24.5
275,24.5
276,24.5
277,24.5
278,24.5
279,24.5
280,24.5
281,24.5
282,24.5
283,24.5
284,24.5
285,24.5
286,24.5
287,24.5
288,24.5
289,24.5
290,24.5
291,24.5
292,24.5
293,24.56
294,24.5
295,24.5
296,24.56
297,24.56
298,24.56
299,24.56
300,24.56
301,24.56
302,24.56
303,24.56
304,24.56
305,24.56
306,24.56
307,24.56
308,24.56
309,24.619999
310,24.56
311,24.619999
312,24.619999
313,24.619999
314,24.619999
315,24.619999
316,24.619999
317,24.619999
318,24.619999
319,24.619999
320,24.619999
321,24.619999
322,24.68
323,24.68
324,24.68
325,24.68
326,24.68
327,24.68
328,24.68
329,24.68
330,24.75
331,24.68
332,24.75
333,24.75
334,24.75
335,24.75
336,24.75
337,24.75
338,24.75
339,24.81
340,24.81
341,24.81
342,24.81
343,24.81
344,24.81
345,24.81
346,24.81
347,24.81
348,24.869999
349,24.869999
350,24.869999
351,24.869999
352,24.869999
353,24.869999
354,24.869999
355,24.93
356,24.93
357,24.93
358,24.93
359,24.93
360,24.93
361,24.93
362,24.93
363,25.0
364,25.0
365,25.0
366,25.0
367,25.0
368,25.0
369,25.06
370,25.06
371,25.06
372,25.06
373,25.06
374,25.06
375,25.06
376,25.06
377,25.119999
378,25.119999
379,25.119999
380,25.119999
381,25.18
382,25.119999
383,25.18
384,25.18
385,25.18
386,25.18
387,25.18
388,25.18
389,25.25
390,25.25
391,25.25
392,25.25
393,25.25
394,25.25
395,25.25
396,25.25
397,25.31
398,25.31
399,25.31
400,25.31
401,25.31
402,25.31
403,25.31
404,25.31
405,25.31
406,25.31
407,25.369999
408,25.369999
409,25.369999
410,25.369999
411,25.369999
412,25.369999
413,25.369999
414,25.369999
415,25.369999
416,25.43
417,25.369999
418,25.43
419,25.43
420,25.43
421,25.43
422,25.43
423,25.43
424,25.43
425,25.43
426,25.43
427,25.43
428,25.43
429,25.43
430,25.43
431,25.43
432,25.5
433,25.5
434,25.5
435,25.5
436,25.5
437,25.5
438,25.5
439,25.5
440,25.5
441,25.5
442,25.5
443,25.5
444,25.5
445,25.5
446,25.5
447,25.5
448,25.5
449,25.56
450,25.56
451,25.5
452,25.56
453,25.56
454,25.56
455,25.56
456,25.56
457,25.56
458,25.56
459,25.56
460,25.56
461,25.56
462,25.56
463,25.56
464,25.56
465,25.56
466,25.56
